,Hotel_Name,Price,Room_type,Location,City,No. of Reviews,Rating,Distance from centre (km),Breakfast,Cancellation
0,Essentia Luxury Hotel Indore,5102,Deluxe King Room,Indore,Indore,568,8.2,4.2,Breakfast included,No Free cancellation
1,"Radisson Blu Hotel, Indore",7266,Superior Double Room with complimentary 10% discount on food,Indore,Indore,850,7.9,4.8,Not included,No Free cancellation
2,The Ashoka Hotel,1425,Budget Double or Twin Room - Day Use 3 Hours,"Vijay Nagar, Indore",Indore,44,6.6,4.2,Not included,Free cancellation
3,Ginger Indore,3499,Standard Room,Indore,Indore,185,6.5,0.6,Not included,No Free cancellation
4,Enrise By Sayaji Rau Indore,3299,Standard Double or Twin Room,Indore,Indore,111,7.4,11.0,Not included,No Free cancellation
5,Hotel Grand Girdhar,2274,Deluxe Room,Indore,Indore,169,6.1,5.4,Not included,Free cancellation
6,SCARLET BY PLAYSALES,3189,Deluxe Room,Indore,Indore,26,8.1,6.4,Not included,No Free cancellation
7,Pallete Sapphire Star Chappan Market,2544,Standard Double Room,"Palasia, Indore",Indore,41,9.6,1.7,Not included,Free cancellation
8,Indore Marriott Hotel,5750,"Standard King, Guest Room, 1 King Bed",Indore,Indore,708,8.3,3.9,Not included,No Free cancellation
9,Townhouse OAK Utsav Residency,1092,Standard Double Room,Indore,Indore,204,4.8,1.1,Not included,Free cancellation
10,FabHotel Santoor Geeta Bhawan Square,2053,Deluxe Double Room,Indore,Indore,452,8.4,1.4,Not included,No Free cancellation
11,Hotel Vrindavan Palace,2300,Standard King Room,Indore,Indore,271,7.1,1.7,Not included,Free cancellation
12,Sayaji Indore,6300,Grande Room Only,Indore,Indore,784,7.8,4.1,Not included,No Free cancellation
13,Playsales By Playotel,2529,Standard Double Room,Indore,Indore,8,7.4,5.9,Breakfast included,No Free cancellation
14,Hotel Ambassador,1980,Deluxe Double Room without Air Conditioning,Indore,Indore,78,7.0,0.7,Not included,Free cancellation
15,Hotel New Sunder,2050,Deluxe Double Room,Indore,Indore,274,6.6,30.0,Not included,No Free cancellation
16,"WOW Crest, Indore - IHCL SeleQtions",6649,Superior Twin Room,Indore,Indore,392,7.8,3.9,Not included,No Free cancellation
17,Playotel Premier Vijay Nagar,4600,Deluxe Double Room,Indore,Indore,234,8.8,5.4,Breakfast included,Free cancellation
18,The Eden,1800,Deluxe Double Room,Indore,Indore,59,5.9,1.5,Not included,No Free cancellation
19,"Lemon Tree Hotel, Indore",5407,Deluxe Twin Room,Indore,Indore,204,7.2,0.5,Not included,No Free cancellation
20,FabHotel Balaji Paradise,1630,Deluxe Room,Indore,Indore,144,8.3,5.3,Not included,No Free cancellation
21,FabHotel Day2Day,1661,Deluxe Room,Indore,Indore,444,8.1,4.9,Not included,No Free cancellation
22,Treebo Premium Omni Residency,4127,Deluxe Double Room,Indore,Indore,34,8.2,5.0,Breakfast included,No Free cancellation
23,Super Townhouse Gandhi Hall,1637,Standard Double Room,Indore,Indore,310,6.5,25.0,Not included,Free cancellation
24,FabHotel Benchmark,1951,Deluxe Room,Indore,Indore,103,8.8,5.8,Not included,No Free cancellation
25,FabHotel Will B Fine,1630,Executive Triple Room,Indore,Indore,12,7.7,2.5,Not included,No Free cancellation
26,FabHotel Imperial Regency,1812,Deluxe Room,Indore,Indore,316,7.1,0.8,Not included,No Free cancellation
27,Treebo Cherry Tree,2762,[Sanitized] Deluxe Double Room,"Palasia, Indore",Indore,116,7.0,1.9,Breakfast included,No Free cancellation
28,FabHotel Atharv,1630,Deluxe Room,Indore,Indore,120,8.4,5.9,Not included,No Free cancellation
29,FabHotel Rajnandani Residency Bhawarkua,1934,Deluxe Room,Indore,Indore,249,7.2,2.9,Not included,No Free cancellation
30,FabHotel Grand Giriraj,1445,Deluxe Room,Indore,Indore,29,8.4,4.5,Breakfast included,No Free cancellation
31,FabExpress SP7,1155,Deluxe Room,Indore,Indore,24,7.9,7.9,Not included,No Free cancellation
32,Jardin Hotels,3600,Standard Double Room,Indore,Indore,104,7.3,6.6,Not included,No Free cancellation
33,The Grand Tara,3150,Deluxe Room,Indore,Indore,14,7.4,0.9,All meals included,No Free cancellation
34,The Sky Imperial Sethji Ni Wadi,3400,Deluxe King Room,Indore,Indore,31,8.3,20.0,Not included,Free cancellation
35,FabHotel SS Blue,1195,Deluxe Room,Indore,Indore,22,6.7,5.4,Not included,No Free cancellation
36,FabHotel Awadhvue,1692,Deluxe Room,Indore,Indore,5,8.6,4.9,Not included,No Free cancellation
37,FabHotel Hello Homz,1250,Deluxe Room,Indore,Indore,89,7.4,3.9,Not included,No Free cancellation
38,Super Townhouse Divya Palace,1415,Deluxe Triple Room,Indore,Indore,314,6.8,1.5,Not included,Free cancellation
39,FabExpress The King Palace,1327,Deluxe Room,Indore,Indore,44,7.3,1.7,Not included,No Free cancellation
40,Treebo Grand Euro Pipliyahana Square,2389,Standard Double Room,Indore,Indore,51,7.9,4.1,Breakfast included,No Free cancellation
41,Hotel Purva,1620,Deluxe Double or Twin Room with Fan,Indore,Indore,78,5.8,0.5,Not included,Free cancellation
42,Treebo Musk,2263,Standard Double Room,Indore,Indore,7,8.6,5.6,Breakfast included,No Free cancellation
43,"Sarovar Portico , Indore",6300,Deluxe Room - 1 Double Bed,Indore,Indore,202,6.9,30.0,Not included,No Free cancellation
44,FabHotel Dream Paradise,1207,Deluxe Room,Indore,Indore,31,8.5,6.2,Not included,No Free cancellation
45,Hotel Solaris,2465,Deluxe Double Room,Indore,Indore,15,7.6,4.5,Not included,No Free cancellation
46,The Park Indore,6500,Double or Twin Room with Mountain View,Indore,Indore,282,8.4,5.1,Not included,No Free cancellation
47,FabHotel Ten Eleven,2053,Deluxe Room,Indore,Indore,22,8.7,5.2,Not included,No Free cancellation
48,Sheraton Grand Palace Indore,5700,"Deluxe King, Guest room, 1 King, Sofa bed, City view    ",Indore,Indore,305,8.4,9.6,Breakfast included,No Free cancellation
49,Treebo Merit,2324,Deluxe Double Room,Indore,Indore,32,7.4,5.2,Breakfast included,Free cancellation
50,FabHotel Dev's Inn,1360,Deluxe Room,Indore,Indore,32,7.1,7.3,Not included,No Free cancellation
51,FabHotel Uday Vilas,1248,Deluxe Room,"Vijay Nagar, Indore",Indore,45,6.8,4.3,Not included,No Free cancellation
52,Treebo Shivani,2139,Deluxe Double or Twin Room,Indore,Indore,137,5.8,2.8,Breakfast included,No Free cancellation
53,FabHotel Ramya,1571,Deluxe Room,Indore,Indore,78,8.4,4.5,Not included,No Free cancellation
54,FabHotel Shiv Chhaya,1412,Deluxe Room,Indore,Indore,94,7.4,4.5,Not included,No Free cancellation
55,Super Townhouse Prime Stay,1175,Standard Double Room,Indore,Indore,22,8.0,11.0,Not included,Free cancellation
56,FabHotel S Pride,1818,Deluxe Room,Indore,Indore,27,7.9,5.0,Not included,No Free cancellation
57,FabHotel J Palace,2575,Executive Triple Room,Indore,Indore,1,8.0,4.8,Not included,No Free cancellation
58,Itsy Hotels Phoenix,1939,Deluxe Double Room,Indore,Indore,67,7.5,4.3,Breakfast included,Free cancellation
59,The Havelock Hotel,2119,Deluxe Room,Indore,Indore,2,5.5,5.7,Not included,No Free cancellation
60,FabHotel Bee Town,2497,Deluxe Room,Indore,Indore,197,7.1,8.0,Not included,No Free cancellation
61,FabHotel ABC View,1134,Deluxe Double Room,Indore,Indore,295,8.2,4.6,Not included,No Free cancellation
62,Hotel Konark - Vijay Nagar,1599,Deluxe Room,Indore,Indore,8,7.5,4.5,Not included,No Free cancellation
63,FabHotel Elite Residency,1522,Deluxe Room,Indore,Indore,61,8.3,4.3,Not included,No Free cancellation
64,Rasa Royale - A Boutique Hotel,4200,Deluxe King Room,Indore,Indore,3,8.3,5.6,Breakfast included,No Free cancellation
65,FabExpress Green Park,1212,Deluxe Room,Indore,Indore,23,6.3,4.4,Not included,No Free cancellation
66,Hotel Aarav,844,Deluxe Double Room,Indore,Indore,5,1.6,4.9,Not included,Free cancellation
67,FabHotel Urban Elite,1812,Deluxe Room,Indore,Indore,26,7.3,6.2,Not included,No Free cancellation
68,FabHotel Classic Inn,1931,Deluxe Room,Indore,Indore,3,8.3,5.4,Not included,No Free cancellation
69,Townhouse Pipliyahana Square,898,Classic Triple Room,Indore,Indore,15,4.1,4.3,Not included,Free cancellation
70,Stay10 Premium Service Apartments,2250,Family Room,Indore,Indore,50,8.7,3.7,Not included,Free cancellation
71,stayEZ Studio Apartments,2200,Apartment - Ground Floor,Indore,Indore,12,8.2,4.7,Not included,Free cancellation
72,FabHotel Meera Palace,1249,Deluxe Room,Indore,Indore,30,6.3,4.4,Not included,No Free cancellation
73,FabExpress A2 and Restro,1271,Deluxe Room,Indore,Indore,2,9.0,7.6,Not included,No Free cancellation
74,Hotel Kiwi Inn Vijaynagar Scheme 78,1800,Junior Suite,Indore,Indore,11,7.0,5.2,Not included,Free cancellation
75,FabHotel Stay Well,1536,Deluxe Room,Indore,Indore,14,9.0,23.0,Not included,No Free cancellation
76,Hotel Pavilion,3149,Deluxe Twin Room,Indore,Indore,19,6.4,4.2,Not included,Free cancellation
77,Hotel O Lakshya,879,Standard Double Room,Indore,Indore,4,4.5,1.6,Not included,Free cancellation
78,Studio Flat with a Balcony for Comfort Living,1200,One-Bedroom Apartment,Indore,Indore,4,7.3,5.6,Not included,No Free cancellation
79,FabHotel Unity Landmark,1405,Deluxe Room,Indore,Indore,19,7.6,5.1,Not included,No Free cancellation
80,FabHotel Prime The Grey Circle,2455,Deluxe Room,Indore,Indore,41,8.9,5.4,Not included,No Free cancellation
81,HOTEL AURA GRANDE,1614,Deluxe Room,Indore,Indore,1,10.0,5.4,Not included,No Free cancellation
82,Narmada Guest House,599,Deluxe Double Room (2 Adults + 1 Child),Indore,Indore,91,5.7,4.3,Not included,No Free cancellation
83,Hotel O Maa Palace,1153,Classic Triple Room,Indore,Indore,0,7.0306546644844525,7.6,Not included,No Free cancellation
84,Super Collection O Iconic Stay,1051,Standard Double Room,Indore,Indore,58,8.0,5.3,Not included,Free cancellation
85,FabHotel Grand Vista,1631,Deluxe Room,Indore,Indore,10,6.9,2.9,Not included,No Free cancellation
86,The Clan Indore By Creed Way,4262,Standard Double Room,Indore,Indore,5,9.2,4.9,Not included,Free cancellation
87,FabHotel Sage Residency,1416,Deluxe Room,Indore,Indore,4,8.0,5.8,Not included,No Free cancellation
88,Hotel Indergarh Heritage,1800,Deluxe Double Room,Indore,Indore,0,7.0306546644844525,4.6,Not included,Free cancellation
89,"Hotel Meritel Grande, Vijay Nagar, Indore",2503,Deluxe Room,Indore,Indore,1,9.0,6.3,Not included,No Free cancellation
90,Hotel Evanka,2040,Deluxe Studio,Indore,Indore,35,7.7,6.3,Not included,Free cancellation
91,Park facing airy Studio Flat,1200,One-Bedroom Apartment,Indore,Indore,4,7.0,6.0,Not included,No Free cancellation
92,JAGTARA RESIDENCY,900,Budget Double or Twin Room,Indore,Indore,40,4.8,2.0,Not included,No Free cancellation
93,Collection O The Eternity,717,Standard Double Room,Indore,Indore,20,3.1,3.5,Not included,Free cancellation
94,JAIN HOME STAY,680,Deluxe Family Room,Indore,Indore,23,6.2,2.5,Not included,No Free cancellation
95,JMB Hotel Height,1380,Deluxe King Room,Indore,Indore,8,9.4,4.5,Not included,No Free cancellation
96,Wow Stay,2480,One-Bedroom Apartment,Indore,Indore,0,7.0306546644844525,3.2,Not included,No Free cancellation
97,"Hotel Alba Inn,",1899,Deluxe Room,Indore,Indore,4,8.2,8.6,Not included,No Free cancellation
98,Hotel Dwarika Inn,2240,Standard Double Room,Indore,Indore,48,6.4,1.0,Breakfast included,Free cancellation
99,Hotel Lakshya Sheesh Mahal Indore,1715,Superior Double or Twin Room,Indore,Indore,14,9.0,2.2,Not included,Free cancellation
100,Hotel O Paradise Green,734,Standard Double Room,Indore,Indore,1,7.0,5.4,Not included,Free cancellation
101,FabHotel Synergy Stays,1379,Deluxe Room,Indore,Indore,0,7.0306546644844525,4.6,Not included,No Free cancellation
102,"Alba Premier, Indore",6396,Executive Triple Room,Indore,Indore,22,7.2,3.7,Not included,No Free cancellation
103,Hotel President,5850,Deluxe Double or Twin Room,Indore,Indore,134,6.9,0.6,Breakfast included,No Free cancellation
104,Hotel Aarav-94,1650,Deluxe Double Room (2 Adults + 1 Child),Indore,Indore,1,1.0,4.8,Breakfast included,No Free cancellation
105,Hotel Rajshree,1174,Deluxe Double or Twin Room,Indore,Indore,2,10.0,2.8,Not included,No Free cancellation
106,Nakhrali Dhani Resort,2142,Deluxe Double Room,Indore,Indore,4,5.7,11.0,Not included,No Free cancellation
107,Super Townhouse Benchmark Vijay Nagar,1096,Classic Triple Room,Indore,Indore,51,6.4,4.7,Not included,Free cancellation
108,Aceotel Inn Flamingo,4798,Deluxe Room,"Vijay Nagar, Indore",Indore,34,7.4,4.5,Not included,No Free cancellation
109,Super Hotel O Karuna Marg Near Brilliant Convention Centre formerly Madhur Shree,1332,Classic Triple Room,Indore,Indore,34,10.0,5.3,Not included,Free cancellation
110,Studio Flat for comfort living,1200,One-Bedroom Apartment,Indore,Indore,2,5.0,5.6,Not included,No Free cancellation
111,We committe Home away from Home,1800,One-Bedroom Apartment,Indore,Indore,1,8.0,5.7,Not included,No Free cancellation
112,Staeg Skyline View 3BHK - 1404,3420,Three-Bedroom Apartment,Indore,Indore,13,7.8,7.4,Not included,No Free cancellation
113,Hotel Paradise BY 94,810,Deluxe Double Room,Indore,Indore,1,1.0,5.0,Breakfast included,No Free cancellation
114,The Grand Shaurya,3961,Deluxe Double Room,Indore,Indore,21,6.0,5.0,Not included,No Free cancellation
115,Super Hotel O Shree,888,Standard Double Room,Indore,Indore,0,7.0306546644844525,6.5,Not included,No Free cancellation
116,Staeg Mercury 1BHK - 102,2528,Apartment,Indore,Indore,3,4.3,5.6,Not included,No Free cancellation
117,FabHotel The Max Glory,1791,Deluxe Room,Indore,Indore,4,9.0,5.5,Not included,No Free cancellation
118,Hotel Konark Inn,3300,Deluxe Queen Room,Indore,Indore,36,6.8,4.1,Not included,No Free cancellation
119,FabHotel Rush Imperial,1931,Deluxe Room,Indore,Indore,2,8.5,5.7,Not included,No Free cancellation
120,FabHotel Kesar,2416,Deluxe Room,Indore,Indore,4,9.2,5.9,Not included,No Free cancellation
121,Hotel Mahati,1530,Double Room with Private Bathroom,Indore,Indore,0,7.0306546644844525,5.6,Not included,Free cancellation
122,Hotel URS Palace,2400,Deluxe Room,Indore,Indore,2,10.0,4.5,Not included,No Free cancellation
123,Zone Connect by The Park Indore,8499,Deluxe Family Room,Indore,Indore,21,7.8,15.0,Not included,No Free cancellation
124,Hotel Winway,7200,Junior Suite,Indore,Indore,112,7.8,0.8,Not included,No Free cancellation
125,FabHotel Woodlark Inn,1631,Deluxe Room,Indore,Indore,48,8.5,4.7,Not included,No Free cancellation
126,TPM STAY hostel,600,Triple Room with Shower,Indore,Indore,3,6.3,3.6,Not included,Free cancellation
127,Eco Stay by Playsales,2249,Deluxe Room,"Vijay Nagar, Indore",Indore,93,7.3,4.3,Not included,No Free cancellation
128,Hotel O The Dreams,862,Standard Double Room,Indore,Indore,11,5.0,8.7,Not included,Free cancellation
129,Hotel tirupati palace,1190,Deluxe Double Room (1 adult + 1 child),Indore,Indore,0,7.0306546644844525,2.9,Not included,Free cancellation
130,Capital O Abri Krishna,1032,Standard Double Room,Indore,Indore,9,2.8,5.7,Not included,Free cancellation
